price,date
$336.52,20210510-1102
$343.88,20210510-1102
$345.68,20210510-1102
$345.68,20210510-1102
$345.92,20210510-1102
$365.58,20210510-1102
$371.18,20210510-1102
$416.57,20210510-1102
$420.02,20210510-1102
$443.57,20210510-1102
$496.58,20210510-1102
$514.55,20210510-1102
$279.95,20210510-1132
$286.80,20210510-1132
$286.86,20210510-1132
$287.64,20210510-1132
$288.19,20210510-1132
$288.19,20210510-1132
$308.77,20210510-1132
$308.77,20210510-1132
$308.77,20210510-1132
$310.18,20210510-1132
$329.36,20210510-1132
$338.72,20210510-1132
$338.73,20210510-1132
$341.05,20210510-1132
$348.53,20210510-1132
$350.35,20210510-1132
$350.35,20210510-1132
$350.60,20210510-1132
$370.53,20210510-1132
$376.11,20210510-1132
$414.55,20210510-1132
$418.77,20210510-1132
$449.57,20210510-1132
$503.93,20210510-1132
$279.95,20210510-1202
$290.53,20210510-1202
$290.76,20210510-1202
$291.41,20210510-1202
$292.49,20210510-1202
$292.49,20210510-1202
$303.51,20210510-1202
$313.38,20210510-1202
$313.38,20210510-1202
$313.38,20210510-1202
$334.27,20210510-1202
$342.99,20210510-1202
$343.00,20210510-1202
$346.11,20210510-1202
$353.73,20210510-1202
$355.58,20210510-1202
$355.58,20210510-1202
$355.83,20210510-1202
$376.06,20210510-1202
$381.64,20210510-1202
$409.43,20210510-1202
$421.54,20210510-1202
$456.28,20210510-1202
$512.10,20210510-1202
$279.85,20210510-1232
$289.82,20210510-1232
$290.35,20210510-1232
$290.79,20210510-1232
$292.38,20210510-1232
$292.38,20210510-1232
$292.38,20210510-1232
$313.27,20210510-1232
$313.27,20210510-1232
$313.27,20210510-1232
$334.15,20210510-1232
$342.08,20210510-1232
$342.10,20210510-1232
$345.96,20210510-1232
$353.61,20210510-1232
$355.45,20210510-1232
$355.45,20210510-1232
$355.71,20210510-1232
$375.92,20210510-1232
$381.41,20210510-1232
$397.99,20210510-1232
$417.92,20210510-1232
$456.12,20210510-1232
$512.56,20210510-1232
$288.50,20210510-1302
$289.32,20210510-1302
$289.55,20210510-1302
$291.67,20210510-1302
$291.67,20210510-1302
$291.67,20210510-1302
$312.50,20210510-1302
$312.50,20210510-1302
$312.50,20210510-1302
$333.33,20210510-1302
$340.46,20210510-1302
$340.48,20210510-1302
$345.09,20210510-1302
$352.74,20210510-1302
$354.44,20210510-1302
$354.58,20210510-1302
$354.58,20210510-1302
$354.83,20210510-1302
$380.39,20210510-1302
$385.71,20210510-1302
$416.67,20210510-1302
$455.00,20210510-1302
$511.95,20210510-1302
$595.39,20210510-1302
$275.35,20210510-1332
$288.26,20210510-1332
$289.38,20210510-1332
$289.41,20210510-1332
$291.16,20210510-1332
$292.04,20210510-1332
$292.04,20210510-1332
$292.04,20210510-1332
$312.90,20210510-1332
$312.90,20210510-1332
$333.76,20210510-1332
$340.12,20210510-1332
$340.14,20210510-1332
$345.51,20210510-1332
$353.20,20210510-1332
$355.04,20210510-1332
$355.04,20210510-1332
$355.29,20210510-1332
$355.33,20210510-1332
$374.90,20210510-1332
$380.80,20210510-1332
$417.20,20210510-1332
$455.59,20210510-1332
$513.26,20210510-1332
$273.18,20210510-1402
$285.38,20210510-1402
$286.60,20210510-1402
$286.78,20210510-1402
